AS OF 01/05/2019

CODE    ,PROCEDURE DESCRIPTION         ,BEGIN DATE,END DATE  ,PRIOR AUTHORIZATION REQUIRED  ,FEE (AGE 21+),FEE (UNDER 21),MAX UNITS,FACILITY PRICING,MANUAL PRICING,COVERED BENEFIT,
D2920   ,Re-cement or re-bond crown                                                                                                                                                                                                                                                                                                      ,01/07/2006,12/31/9999,NO                            ,$48.00    ,$75.00    ,        1,            ,YES,YES,
D2921   ,REATTACHMENT OF TOOTH FRAGMENT  INCISAL EDGE OR CUSP                                                                                                                                                                                                                                                                            ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2929   ,PREFABRICATED PORCELAIN/CERAMIC CROWN - PRIMARY TOOTH                                                                                                                                                                                                                                                                           ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2930   ,PREFABRICATED STAINLESS STEEL CROWN-PRIMARY TOOTH                          NEW CODE(S) D2930 OR D2931                                                                                                                                                                                                                           ,02/16/2009,12/31/9999,NO                            ,$300.00   ,$300.00   ,       10,            ,YES,YES,
D2931   ,PREFABRICATED STAINLESS STEEL CROWN-PERMANENT TOOTH                        NEW CODE(S) D2930 OR D2931                                                                                                                                                                                                                           ,01/07/2006,12/31/9999,NO                            ,$102.40   ,$102.40   ,       10,            ,YES,YES,
D2932   ,PREFABRICATED RESIN CROWN                                                                                                                                                                                                                                                                                                       ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2933   ,PREFABRICATED STAINLESS STEEL CROWN WITH RESIN WINDOW                                                                                                                                                                                                                                                                           ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2934   ,PREFABRICATED ESTHETIC COATED STAINLESS STEEL CROWN - PRIMARY TOOTH                                                                                                                                                                                                                                                             ,02/16/2009,12/31/9999,NO                            ,$300.00   ,$300.00   ,       10,            ,YES,YES,
D2940   ,PROTECTIVE RESTORATION                                                                                                                                                                                                                                                                                                          ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D2941   ,INTERIM THERAPEUTIC RESTORATION - PRIMARY DENTITION                                                                                                                                                                                                                                                                             ,01/01/2014,12/31/9999,NO                            ,$70.00    ,$70.00    ,        1,            ,YES,YES,
D2949   ,RESTORATIVE FOUNDATION FOR AN INDIRECT RESTORATION                                                                                                                                                                                                                                                                              ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2950   , Core build-up  including any pins when required                                                                                                                                                                                                                                                                                ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D2951   ,PIN RETENTION-PER TOOTH  IN ADDITION TO RESTORATION                                                                                                                                                                                                                                                                             ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2953   ,EACH ADDITIONAL INDIRECTLY FABRICATED POST - SAME TOOTH                                                                                                                                                                                                                                                                         ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2954   ,PREFABRICATED POST AND CORE IN ADDITION TO CROWN                                                                                                                                                                                                                                                                                ,01/01/2013,12/31/9999,NO                            ,$80.00    ,$80.00    ,        1,            ,YES,YES,
D2955   ,POST REMOVAL                                                                                                                                                                                                                                                                                                                    ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2957   ,EACH ADDITIONAL PREFABRICATED  POST - SAME TOOTH                                                                                                                                                                                                                                                                                ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2960   ,LABIAL VENEER (LAMINATE)-CHAIRSIDE                                                                                                                                                                                                                                                                                              ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2961   ,LABIAL VENEER (RESIN LAMINATE)-LABORATORY                                                                                                                                                                                                                                                                                       ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2962   ,LABIAL VENEER (PORCELAIN LAMINATE)-LABORATORY                                                                                                                                                                                                                                                                                   ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2971   ,ADDITIONAL PROCEDURES TO CONSTRUCT NEW CROWN UNDER EXISTING PARTIAL DENTURE FRAMEWORK                                                                                                                                                                                                                                           ,01/01/2005,12/31/9999,YES                           ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2975   ,COPING                                                                                                                                                                                                                                                                                                                          ,01/01/2005,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2980   ,CROWN REPAIR NECESSITATED BY RESTORATIVE MATERIAL FAILURE                                                                                                                                                                                                                                                                       ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2981   ,INLAY REPAIR NECESSITATED BY RESTORATIVE MATERIAL FAILURE                                                                                                                                                                                                                                                                       ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2982   ,ONLAY REPAIR NECESSITATED BY RESTORATIVE MATERIAL FAILURE                                                                                                                                                                                                                                                                       ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2983   ,VENEER REPAIR NECESSITATED BY RESTORATIVE MATERIAL FAILURE                                                                                                                                                                                                                                                                      ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D2990   ,RESIN INFILTRATION OF INCIPIENT SMOOTH SURFACE LESIONS                                                                                                                                                                                                                                                                          ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3110   ,PULP CAP DIRECT EXCLUDING FINA                                                                                                                                                                                                                                                                                                  ,01/07/2006,12/31/9999,NO                            ,$35.00    ,$55.00    ,       10,            ,YES,YES,
D3120   ,PULP CAP  INDIRECT                                                                                                                                                                                                                                                                                                              ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D3220   ,PULPOTOMY                                                                                                                                                                                                                                                                                                                       ,01/07/2006,12/31/9999,NO                            ,$107.00   ,$134.00   ,       10,            ,YES,YES,
D3221   ,PULPAL DEBRIDEMENT  PRIMARY AND PERMANENT TEETH                                                                                                                                                                                                                                                                                 ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3222   ,PARTIAL PULPOTOMY FOR APEXOGENESIS - PERMANENT TOOTH WITH INCOMPLETE ROOT  DEVELOPMENT                                                                                                                                                                                                                                          ,01/01/2009,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3230   ,PULPAL THERAPY (RESORBABLE FILLING)-ANTERIOR  PRIMARY TOOTH (EXCLUDING FINAL    RESTORATION)                                                                                                                                                                                                                                    ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3240   ,PULPAL THERAPY (RESORBABLE FILLING)-POSTERIOR  PRIMARY TOOTH (EXCLUDING FINAL   RESTORATION)                                                                                                                                                                                                                                    ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3310   ,ENDODONTIC THERAPY  ANTERIOR TOOTH (EXCLUDING FINAL RESTORATION)                                                                                                                                                                                                                                                                ,01/07/2006,12/31/9999,NO                            ,$398.00   ,$498.00   ,       10,            ,YES,YES,
D3320   ,Endodontic therapy  premolar tooth (excluding final restoration)                                                                                                                                                                                                                                                                ,01/07/2006,12/31/9999,NO                            ,$472.00   ,$591.00   ,        2,            ,YES,YES,
D3330   ,Endodontic therapy  molar tooth (excluding final restoration)                                                                                                                                                                                                                                                                   ,01/07/2006,12/31/9999,NO                            ,$582.00   ,$728.00   ,        3,            ,YES,YES,
D3331   ,TREATMENT OF ROOT CANAL OBSTRUCTION; NON-SURGICAL ACCESS                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3332   ,INCOMPLETE ENDODONTIC THERAPY; INOPERABLE  UNRESTORABLE OR FRACTURED TOOTH                                                                                                                                                                                                                                                      ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3333   ,INTERNAL ROOT REPAIR OF PERFORATION DEFECTS                                                                                                                                                                                                                                                                                     ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3346   ,RETREATMENT OF PREVIOUS ROOT CANAL THERAPY-ANTERIOR                                                                                                                                                                                                                                                                             ,01/01/2013,12/31/9999,NO                            ,$441.00   ,$552.00   ,        1,            ,YES,YES,
D3347   ,Retreatment of previous root canal therapy - premolar                                                                                                                                                                                                                                                                           ,01/07/2006,12/31/9999,YES                           ,$525.00   ,$657.00   ,        1,            ,YES,YES,
D3348   ,RETREATMENT OF PREVIOUS ROOT CANAL THERAPY-MOLAR                                                                                                                                                                                                                                                                                ,01/01/2013,12/31/9999,NO                            ,$646.00   ,$808.00   ,        1,            ,YES,YES,
D3351   ,Apexification/recalcification - initial visit (apical closure/calcific repair of perforations  root resorption  etc.)                                                                                                                                                                                                           ,01/07/2006,12/31/9999,YES                           ,$198.00   ,$248.00   ,        1,            ,YES,YES,
D3352   , Apexification/recalcification - interim medication replacement (apical closure/calcific repair of perforations  root resorption  pulp space disinfection  etc.)                                                                                                                                                                ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3353   ,APEXIFICATION/RECALCIFICATION-FINAL VISIT (INCLUDES COMPLETED ROOT CANAL        THERAPY-APICAL CLOSURE/CALCIFIC REPAIR OF PERFORATIONS  ROOT RESORPTION  ETC.)                                                                                                                                                                  ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3355   ,PULPAL REGENERATION - INITIAL VISIT                                                                                                                                                                                                                                                                                             ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3356   ,PULPAL REGENERATION - INTERIM MEDICATION REPLACEMENT                                                                                                                                                                                                                                                                            ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3357   ,PULPAL REGENERATION - COMPLETION OF TREATMENT                                                                                                                                                                                                                                                                                   ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3410   ,Apicoectomy - anterior                                                                                                                                                                                                                                                                                                          ,01/01/2013,12/31/9999,NO                            ,$426.00   ,$533.00   ,       10,            ,YES,YES,
D3421   ,Apicoectomy - premolar (first root)                                                                                                                                                                                                                                                                                             ,01/01/2013,12/31/9999,NO                            ,$522.00   ,$653.00   ,        1,            ,YES,YES,
D3425   ,Apicoectomy - molar (first root)                                                                                                                                                                                                                                                                                                ,01/01/2013,12/31/9999,NO                            ,$580.00   ,$725.00   ,        1,            ,YES,YES,
D3426   ,Apicoectomy (each additional root)                                                                                                                                                                                                                                                                                              ,02/16/2009,12/31/9999,NO                            ,$216.00   ,$270.00   ,        4,            ,YES,YES,
D3427   ,PERIRADICULAR SURGERY WITHOUT APICOECTOMY                                                                                                                                                                                                                                                                                       ,01/01/2014,12/31/9999,YES                           ,$200.00   ,$200.00   ,        1,            ,YES,YES,
D3428   ,BONE GRAFT IN CONJUNCTION WITH PERIRADICULAR SURGERY - PER TOOTH  SINGLE SITE                                                                                                                                                                                                                                                   ,01/01/2014,12/31/9999,YES                           ,$250.00   ,$250.00   ,        1,            ,YES,YES,
D3429   ,BONE GRAFT IN CONJUNCTION WITH PERIRADICULAR SURGERY - EACH ADDITIONAL CONTIGUOUS TOOTH IN THE SAME SURGICAL SITE                                                                                                                                                                                                               ,01/01/2014,12/31/9999,YES                           ,$125.00   ,$125.00   ,        1,            ,YES,YES,
D3430   ,RETROGRADE AMALGAM                                                                                                                                                                                                                                                                                                              ,01/07/2006,12/31/9999,NO                            ,$144.00   ,$180.00   ,        6,            ,YES,YES,
D3431   ,BIOLOGIC MATERIALS TO AID IN SOFT AND OSSEOUS TISSUE REGENERATION IN CONJUNCTION WITH PERIRADICULAR SURGERY                                                                                                                                                                                                                     ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3432   ,GUIDED TISSUE REGENERATION  RESORBABLE BARRIER  PER SITE  IN CONJUNCTION WITH PERIRADICULAR SURGERY                                                                                                                                                                                                                             ,01/01/2014,12/31/9999,YES                           ,$250.00   ,$250.00   ,        1,            ,YES,YES,
D3450   ,ROOT AMPUTATION                                                                                                                                                                                                                                                                                                                 ,01/01/2013,12/31/9999,NO                            ,$293.00   ,$419.00   ,      999,            ,YES,YES,
D3460   ,ENDOSSEOUS IMPLANTS                                                                                                                                                                                                                                                                                                             ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D3470   ,INTENTIONAL REPLANTATION (INCLUDING NECESSARY SPLINTING)                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3910   ,GINGIVAL CURETTEMENT                                                                                                                                                                                                                                                                                                            ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D3920   ,HEMISECTION                                                                                                                                                                                                                                                                                                                     ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D3950   ,CANAL PREPARATION AND FITTING OF PREFORMED DOWEL OR POST                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D3999   ,UNSPECIFIED ENDODONTIC PROCEDURE  BY REPORT                                                                                                                                                                                                                                                                                     ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4210   ,GINGIVECTOMY OR GINGIVOPLASTY - FOUR OR MORE CONTIGUOUS TEETH OR TOOTH BOUNDEDSPACES PER QUADRANT                                                                                                                                                                                                                               ,01/07/2006,12/31/9999,YES                           ,$356.00   ,$446.00   ,        4,            ,YES,YES,
D4211   ,GINGIVECTOMY OR GINGIVOPLASTY - ONE TO THREE CONTIGUOUS TEETH OR TOOTH BOUNDEDSPACES PER QUADRANT                                                                                                                                                                                                                               ,01/07/2006,12/31/9999,YES                           ,$128.00   ,$160.00   ,        1,            ,YES,YES,
D4212   , GINGIVECTOMY OR GINGIVOPLASTY TO ALLOW ACCESS FOR RESTORATIVE PROCEDURE  PERTOOTH                                                                                                                                                                                                                                              ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        6,            ,YES,YES,
D4230   ,Anatomical crown exposure - four or more contiguous teeth or bounded tooth spaces per quadrant                                                                                                                                                                                                                                  ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4231   ,Anatomical crown exposure - one to three teeth or bounded tooth spaces per quadrant                                                                                                                                                                                                                                             ,01/01/2007,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4240   ,GINGIVAL FLAP PROCEDURE  INCLUDING ROOT PLANING - FOUR OR MORE CONTIGUOUS  TEETH OR TOOTH BOUNDED SPACES PER QUADRANT                                                                                                                                                                                                           ,01/01/2004,12/31/9999,NO                            ,$100.00   ,$125.00   ,        4,            ,YES,YES,
D4241   ,GINGIVAL FLAP PROCEDURE  INCLUDING ROOT PLANING - ONE TO THREE CONTIGUOUS  TEETH OR TOOTH BOUNDED SPACES PER QUADRANT                                                                                                                                                                                                           ,01/01/2004,12/31/9999,NO                            ,$100.00   ,$125.00   ,        4,            ,YES,YES,
D4245   ,APICALLY POSITIONED FLAP                                                                                                                                                                                                                                                                                                        ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4249   ,CLINICAL CROWN LENGTHENING-HARD TISSUE                                                                                                                                                                                                                                                                                          ,01/07/2006,12/31/9999,NO                            ,$396.00   ,$496.00   ,        1,            ,YES,YES,
D4260   ,Osseous surgery (including elevation of a full thickness flap entry and closure) - four or more contiguous teeth or tooth bounded spaces per quadrant                                                                                                                                                                           ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D4261   ,Osseous surgery (including elevation of a full thickness flap entry and closure) - one to three contiguous teeth or tooth bounded spaces per quadrant                                                                                                                                                                           ,01/01/2003,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4263   ,Bone replacement graft - retained natural tooth - first site in quadrant                                                                                                                                                                                                                                                        ,01/07/2006,12/31/9999,YES                           ,$361.00   ,$452.00   ,        1,            ,YES,YES,
D4264   ,Bone replacement graft - retained natural tooth - each additional site in quadrant                                                                                                                                                                                                                                              ,01/07/2006,12/31/9999,YES                           ,$271.00   ,$339.00   ,        1,            ,YES,YES,
D4265   ,BIOLOGIC MATERIALS TO AID IN SOFT AND OSSEOUS TISSUE REGENERATION                                                                                                                                                                                                                                                               ,01/01/2003,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4266   ,GUIDED TISSUE REGENERATION - RESORBABLE BARRIER  PER SITE                                                                                                                                                                                                                                                                       ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4267   ,GUIDED TISSUE REGENERATION - NONRESORBABLE BARRIER  PER SITE  (INCLUDES         MEMBRANE REMOVAL)                                                                                                                                                                                                                               ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4268   ,SURGICAL REVISION PROCEDURE  PER TOOTH                                                                                                                                                                                                                                                                                          ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4270   ,PEDICLE SOFT TISSUE GRAFTS                                                                                                                                                                                                                                                                                                      ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D4273   ,Autogenous connective tissue graft procedure (including donor and recipient surgical sites) first tooth  implant  or edentulous tooth position in graft                                                                                                                                                                         ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4274   ,Mesial/distal wedge procedure  single tooth (when not performed in conjunction with surgical procedures in the same anatomical area)                                                                                                                                                                                            ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4275   ,Non-autogenous connective tissue graft (including recipient site and donor material) first tooth  implant  or edentulous tooth position in graft                                                                                                                                                                                ,01/01/2003,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4276   ,COMBINED CONNECTIVE TISSUE AND DOUBLE PEDICLE GRAFT  PER TOOTH                                                                                                                                                                                                                                                                  ,01/01/2003,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4277   ,Free soft tissue graft procedure (including recipient and donor surgical sites)  first tooth  implant or edentulous tooth position in graft                                                                                                                                                                                     ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4278   ,Free soft tissue graft procedure (including recipient and donor surgical sites)  each additional contiguous tooth  implant or edentulous tooth position in same graft site                                                                                                                                                      ,01/01/2013,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4283   ,AUTOGENOUS CONNECTIVE TISSUE GRAFT PROCEDURE (INCLUDING DONOR AND RECIPIENT SURGICAL SITES) - EACH ADDITIONAL CONTIGUOUS TOOTH  IMPLANT OR EDENTULOUS TOOTH POSITION IN SAME GRAFT SITE                                                                                                                                         ,01/01/2016,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4285   ,NON-AUTOGENOUS CONNECTIVE TISSUE GRAFT PROCEDURE (INCLUDING RECIPIENT SURGICAL SITE AND DONOR MATERIAL) - EACH ADDITIONAL CONTIGUOUS TOOTH  IMPLANT OR EDENTULOUS TOOTH POSITION IN SAME GRAFT SITE                                                                                                                             ,01/01/2016,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4320   ,PROVISIONAL SPLINTING (INTRACO                                                                                                                                                                                                                                                                                                  ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D4321   ,PROVISIONAL SPLINTING (EXTRACO                                                                                                                                                                                                                                                                                                  ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D4341   ,PERIODONTAL SCALING AND ROOT PLANING - FOUR OR MORE TEETH PER QUADRANT                                                                                                                                                                                                                                                          ,01/07/2006,12/31/9999,YES                           ,$140.00   ,$181.00   ,        4,            ,YES,YES,
D4342   ,PERIODONTAL SCALING AND ROOT PLANING - ONE TO THREE TEETH  PER QUADRANT                                                                                                                                                                                                                                                         ,01/01/2013,12/31/9999,NO                            ,$70.00    ,$70.00    ,        1,            ,YES,YES,
D4346   ,SCALING IN PRESENCE OF GENERALIZED MODERATE OR SEVERE GINGIVAL INFLAMMATION - FULL MOUTH  AFTER ORAL EVALUATION                                                                                                                                                                                                                 ,01/01/2017,12/31/9999,NO                            ,$100.00   ,$100.00   ,        1,            ,YES,YES,
D4355   ,Full mouth debridement to enable a comprehensive oral evaluation and diagnosis on a subsequent visit                                                                                                                                                                                                                            ,01/07/2006,12/31/9999,NO                            ,$100.00   ,$130.00   ,        1,            ,YES,YES,
D4381   , LOCALIZED DELIVERY OF ANTIMICROBIAL AGENTS VIA CONTROLLED RELEASE VEHICLE INTODISEASED CREVICULAR TISSUE  PER TOOTH                                                                                                                                                                                                            ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4910   ,PERIODONTAL MAINTENANCE                                                                                                                                                                                                                                                                                                         ,01/01/2013,12/31/9999,NO                            ,$70.00    ,$70.00    ,      999,            ,YES,YES,
D4920   ,Unscheduled dressing change (by someone other than treating dentist or their staff)                                                                                                                                                                                                                                             ,12/31/1978,12/31/9999,NO                            ,$0.00     ,$0.00     ,      999,            ,YES,NO ,
D4921   ,GINGIVAL IRRIGATION - PER QUADRANT                                                                                                                                                                                                                                                                                              ,01/01/2014,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
D4999   ,UNSPECIFIED PERIODONTAL PROCEDURE  BY REPORT                                                                                                                                                                                                                                                                                    ,01/01/2002,12/31/9999,NO                            ,$0.00     ,$0.00     ,        1,            ,YES,NO ,
